k1	 k2	 k3	 k4	 k5	 k6	 k7	 k8	 k9	 k10	 k11	 k12	 k13	 k14	 k15	 k16	 #nd	 #lm	 #sm	 
5	 130	 100	 152	 217	 168	 135	 117	 101	 112	 90	 138	 63	 98	 128	 41	 	1353	41	10
5	 68	 222	 124	 165	 137	 78	 87	 89	 211	 81	 173	 172	 134	 149	 128	 	1353	41	10
5	 236	 23	 228	 133	 241	 140	 12	 102	 241	 124	 192	 124	 187	 34	 252	 	1353	41	10
6	 228	 102	 218	 97	 11	 99	 175	 98	 188	 131	 180	 105	 47	 58	 255	 	1353	41	10
6	 175	 39	 22	 147	 172	 7	 31	 184	 109	 17	 52	 45	 141	 239	 79	 	1353	41	10
6	 137	 212	 182	 99	 53	 193	 199	 228	 36	 131	 103	 216	 237	 150	 18	 	1353	41	10
6	 236	 69	 57	 2	 216	 229	 10	 248	 157	 119	 9	 209	 165	 150	 193	 	1353	41	10
6	 244	 31	 149	 170	 130	 202	 108	 73	 174	 144	 205	 22	 104	 186	 172	 	1353	41	10
7	 122	 166	 242	 180	 168	 202	 153	 178	 194	 55	 42	 203	 8	 207	 97	 	1353	41	10
7	 201	 195	 128	 94	 110	 3	 40	 218	 76	 215	 106	 25	 237	 210	 211	 	1353	41	10
7	 153	 76	 121	 139	 0	 34	 86	 154	 212	 24	 209	 254	 228	 217	 205	 	1353	41	10
7	 69	 163	 145	 198	 1	 255	 201	 42	 217	 21	 1	 67	 47	 238	 21	 	1353	41	10
7	 2	 135	 97	 124	 19	 98	 158	 105	 252	 114	 129	 205	 113	 101	 166	 	1353	41	10
8	 62	 171	 73	 207	 113	 75	 206	 58	 117	 167	 79	 118	 234	 126	 100	 	1353	41	10
8	 255	 129	 235	 97	 253	 254	 195	 155	 103	 191	 13	 233	 140	 126	 78	 	1353	41	10
8	 50	 189	 249	 124	 140	 106	 199	 91	 164	 60	 2	 244	 178	 237	 114	 	1353	41	10
8	 22	 236	 243	 1	 77	 240	 0	 16	 139	 103	 207	 153	 80	 91	 23	 	1353	41	10
8	 159	 142	 212	 152	 10	 97	 3	 209	 188	 167	 13	 190	 155	 191	 171	 	1353	41	10
9	 14	 213	 152	 1	 214	 229	 242	 214	 246	 125	 62	 197	 22	 142	 33	 	1353	41	10
9	 46	 45	 175	 2	 198	 185	 99	 201	 138	 31	 112	 151	 222	 12	 86	 	1353	41	10
9	 137	 26	 43	 33	 27	 1	 7	 13	 216	 253	 139	 22	 194	 161	 164	 	1353	41	10
9	 227	 207	 210	 146	 210	 152	 75	 53	 97	 213	 85	 209	 108	 51	 221	 	1353	41	10
9	 194	 188	 247	 237	 222	 19	 239	 229	 32	 199	 226	 171	 221	 164	 77	 	1353	41	10
10	 129	 136	 28	 83	 26	 238	 235	 102	 36	 76	 59	 121	 30	 168	 172	 	1353	41	10
10	 251	 106	 104	 243	 88	 70	 6	 71	 43	 38	 14	 13	 210	 235	 178	 	1353	41	10
10	 31	 108	 58	 59	 192	 84	 42	 171	 186	 78	 248	 246	 199	 22	 158	 	1353	41	10
10	 115	 17	 8	 219	 4	 96	 34	 10	 167	 77	 49	 181	 91	 3	 160	 	1353	41	10
10	 13	 34	 13	 71	 93	 205	 155	 135	 120	 86	 213	 112	 76	 156	 134	 	1353	41	10
11	 234	 15	 152	 242	 235	 156	 83	 13	 167	 250	 90	 216	 176	 181	 219	 	1353	41	10
11	 80	 194	 253	 93	 9	 90	 42	 165	 226	 163	 251	 183	 19	 71	 84	 	1353	41	10
11	 154	 49	 99	 50	 35	 78	 206	 118	 91	 117	 113	 182	 77	 33	 107	 	1353	41	10
11	 40	 113	 46	 37	 207	 55	 128	 249	 220	 98	 156	 215	 25	 176	 30	 	1353	41	10
11	 109	 74	 79	 209	 124	 115	 31	 74	 233	 123	 192	 90	 49	 13	 123	 	1353	41	10
12	 156	 54	 237	 202	 91	 188	 2	 219	 181	 222	 61	 82	 182	 87	 2	 	1353	41	10
12	 212	 196	 76	 36	 149	 200	 151	 181	 18	 128	 48	 210	 219	 97	 224	 	1353	41	10
12	 86	 253	 22	 67	 200	 113	 255	 202	 77	 181	 168	 138	 7	 94	 225	 	1353	41	10
12	 9	 51	 166	 85	 87	 59	 29	 238	 240	 47	 110	 32	 2	 73	 129	 	1353	41	10
12	 226	 160	 127	 248	 227	 71	 105	 227	 17	 182	 152	 185	 65	 159	 24	 	1353	41	10
13	 34	 168	 75	 200	 253	 162	 4	 26	 144	 244	 73	 254	 21	 75	 72	 	1353	41	10
13	 150	 45	 232	 21	 37	 203	 92	 143	 174	 109	 69	 70	 39	 134	 229	 	1353	41	10
13	 63	 169	 141	 138	 113	 138	 44	 117	 164	 188	 106	 238	 186	 127	 57	 	1353	41	10
13	 2	 21	 103	 234	 43	 140	 182	 135	 27	 100	 245	 97	 171	 28	 231	 	1353	41	10
13	 144	 91	 144	 30	 229	 2	 168	 17	 119	 77	 205	 225	 59	 135	 96	 	1353	41	10
14	 116	 138	 118	 219	 116	 161	 104	 42	 40	 131	 143	 29	 228	 58	 57	 	1353	41	10
14	 204	 202	 148	 92	 232	 121	 94	 145	 138	 214	 222	 87	 183	 25	 223	 	1353	41	10
14	 24	 141	 105	 142	 105	 221	 47	 209	 8	 87	 84	 151	 117	 57	 209	 	1353	41	10
14	 174	 5	 155	 67	 97	 132	 188	 192	 21	 71	 150	 243	 158	 77	 12	 	1353	41	10
14	 125	 101	 153	 230	 243	 2	 196	 34	 211	 204	 122	 40	 99	 239	 97	 	1353	41	10
15	 52	 157	 102	 207	 224	 199	 83	 157	 135	 104	 228	 29	 91	 130	 107	 	1353	41	10
15	 103	 0	 208	 1	 230	 196	 3	 170	 230	 215	 118	 96	 255	 217	 79	 	1353	41	10
15	 96	 13	 237	 198	 221	 205	 141	 48	 106	 21	 153	 78	 50	 244	 209	 	1353	41	10
15	 157	 92	 209	 110	 93	 183	 50	 96	 98	 24	 55	 216	 121	 54	 178	 	1353	41	10
15	 200	 150	 191	 181	 92	 156	 131	 234	 205	 237	 255	 102	 60	 49	 90	 	1353	41	10
16	 13	 207	 182	 222	 61	 19	 149	 111	 116	 247	 135	 171	 208	 0	 226	 	1353	41	10
16	 130	 201	 120	 65	 126	 213	 222	 1	 191	 171	 239	 190	 17	 43	 239	 	1353	41	10
16	 107	 56	 190	 34	 22	 251	 53	 171	 106	 169	 163	 242	 85	 115	 242	 	1353	41	10
16	 55	 245	 187	 175	 54	 58	 132	 20	 59	 67	 191	 42	 1	 208	 85	 	1353	41	10
16	 241	 60	 141	 175	 94	 163	 171	 147	 79	 21	 61	 242	 7	 146	 101	 	1353	41	10
17	 250	 201	 90	 181	 120	 144	 239	 253	 165	 43	 64	 100	 85	 66	 53	 	1353	41	10
17	 171	 51	 113	 56	 226	 207	 220	 141	 98	 43	 163	 159	 29	 170	 49	 	1353	41	10
17	 130	 164	 250	 220	 90	 115	 108	 73	 112	 17	 116	 176	 118	 202	 242	 	1353	41	10
17	 171	 117	 37	 28	 173	 8	 235	 137	 149	 77	 180	 56	 237	 209	 227	 	1353	41	10
17	 30	 83	 135	 25	 47	 225	 140	 156	 43	 252	 173	 159	 172	 35	 105	 	1353	41	10
18	 159	 206	 222	 196	 234	 140	 204	 213	 21	 98	 35	 202	 154	 16	 155	 	1353	41	10
18	 125	 46	 239	 5	 71	 30	 230	 211	 186	 17	 207	 104	 177	 124	 139	 	1353	41	10
18	 26	 27	 90	 249	 223	 68	 133	 172	 26	 154	 14	 61	 100	 168	 77	 	1353	41	10
18	 0	 38	 123	 239	 43	 195	 13	 17	 150	 200	 35	 102	 48	 212	 226	 	1353	41	10
